ticker,entry_price,known_peak,window_peak,exit_price,exit_bar,peak_bar,exited_before_peak,peak_capture,gain_pct,total_fwd_bars
BAOS,2.6700000762939453,3.819999933242798,3.069999933242798,2.8201000690460205,63,56,False,13.052174906379232,5.621722414346119,64
BAOS,2.6700000762939453,3.819999933242798,3.069999933242798,2.8201000690460205,63,56,False,13.052174906379232,5.621722414346119,64
BAOS,2.6700000762939453,3.819999933242798,3.069999933242798,2.8201000690460205,63,56,False,13.052174906379232,5.621722414346119,64
CCTG,0.6150000095367432,4.5,0.6478000283241272,0.6000999808311462,63,51,False,-0.38352712335065436,-2.422768857649379,64
BGI,0.6899999976158142,0.7099999785423279,0.7099999785423279,0.6034999817609786,45,35,False,-432.50049173878875,-12.5362342251772,64
AIOS,7.409999847412109,33.86989974975586,33.86989974975586,17.41649980545044,16,20,True,37.817603222119445,135.0404880444502,64
CLWT,1.2649999856948853,2.25,1.335800051689148,1.2200000286102295,63,46,False,-4.568523495545506,-3.557308900674536,64
CHNR,4.070000171661377,5.329999923706055,5.329999923706055,4.241415095329285,10,11,True,13.604361698464029,4.211668708552811,64
BGI,0.6899999976158142,0.7099999785423279,0.7099999785423279,0.6034999817609786,45,35,False,-432.50049173878875,-12.5362342251772,64
CHNR,4.070000171661377,5.329999923706055,5.329999923706055,4.241415095329285,10,11,True,13.604361698464029,4.211668708552811,64
CHNR,4.070000171661377,5.329999923706055,5.329999923706055,4.241415095329285,10,11,True,13.604361698464029,4.211668708552811,64
BGI,0.6899999976158142,0.7099999785423279,0.7099999785423279,0.6034999817609786,45,35,False,-432.50049173878875,-12.5362342251772,64
CCTG,0.6150000095367432,4.5,0.6478000283241272,0.6000999808311462,63,51,False,-0.38352712335065436,-2.422768857649379,64
BGI,0.6899999976158142,0.7099999785423279,0.7099999785423279,0.6034999817609786,45,35,False,-432.50049173878875,-12.5362342251772,64
BGMS,0.9950000047683716,2.240000009536743,1.149999976158142,0.9774999797344207,54,27,False,-1.4056244953353794,-1.7587964773954694,64
BTOG,2.049999952316284,2.2625999450683594,2.180000066757202,2.174999952316284,63,49,False,58.795862775860726,6.097561117441157,64
APWC,1.382699966430664,2.26990008354187,1.6399999856948853,1.3939999878406524,48,9,False,1.2736722180314943,0.8172431969575055,64
CCTG,0.6150000095367432,4.5,0.6478000283241272,0.6000999808311462,63,51,False,-0.38352712335065436,-2.422768857649379,64
CIIT,1.440000057220459,3.4200000762939453,1.600000023841858,1.360000020265579,43,16,False,-4.040405867890588,-5.555557901108623,64
ACCL,1.4019999504089355,2.1600000858306885,1.5449999570846558,1.4700000286102295,63,42,False,8.970984967365284,4.850219729427214,64
AHMA,1.0700000524520874,5.400000095367432,1.179900050163269,1.1349999904632568,63,53,False,1.5011532879201923,6.074760264002886,64
BBGI,22.799999237060547,24.989999771118164,23.947999954223633,20.35579996109009,45,20,False,-111.60724565860556,-10.720172621749494,64
BQ,0.7599999904632568,1.2999999523162842,0.7955999970436096,0.7605999708175659,63,3,False,0.11110748086911526,0.07894478445234782,64
BGMS,0.9950000047683716,2.240000009536743,1.149999976158142,0.9774999797344207,54,27,False,-1.4056244953353794,-1.7587964773954694,64
BCG,1.9199999570846558,2.5,2.0899999141693115,2.0199999809265137,63,44,False,17.241382145286106,5.2083346915121185,64
ACCL,1.4019999504089355,2.1600000858306885,1.5449999570846558,1.4700000286102295,63,42,False,8.970984967365284,4.850219729427214,64
AIHS,1.2200000286102295,1.5399999618530271,1.2776000499725342,1.085960042476654,56,8,False,-41.88750440515674,-10.986883851655966,64
CHR,1.659999966621399,2.880000114440918,1.9599000215530396,1.8300000429153442,63,36,False,13.934430794765307,10.240968657363698,64
APWC,1.382699966430664,2.26990008354187,1.6399999856948853,1.3939999878406524,48,9,False,1.2736722180314943,0.8172431969575055,64
CIIT,1.440000057220459,3.4200000762939453,1.600000023841858,1.360000020265579,43,16,False,-4.040405867890588,-5.555557901108623,64
CCTG,0.6150000095367432,4.5,0.6478000283241272,0.6000999808311462,63,51,False,-0.38352712335065436,-2.422768857649379,64
CCTG,0.6150000095367432,4.5,0.6478000283241272,0.6000999808311462,63,51,False,-0.38352712335065436,-2.422768857649379,64
BQ,0.7599999904632568,1.2999999523162842,0.7955999970436096,0.7605999708175659,63,3,False,0.11110748086911526,0.07894478445234782,64
CCTG,0.6150000095367432,4.5,0.6478000283241272,0.6000999808311462,63,51,False,-0.38352712335065436,-2.422768857649379,64
AGMH,0.8615000247955322,1.4500000476837158,0.9366999864578247,0.9200000166893005,63,62,False,9.94052499890615,6.790480581547592,64
BYAH,1.1100000143051147,6.489999771118164,1.4496999979019165,1.3301000595092773,63,53,False,4.09107909206567,19.82883264573201,64
